Descricao da receita;Classificacao
aquisiçao de adesivo flexivel (l:0·50 x a:1·00) propaganda eleitoral;1813-0/01 - impressão de material para uso publicitário
gm/vectra 2.0 placa imv7164;7711-0/00 - locação de automóveis sem condutor
divulgação da campanha - panfletagem;7319-0/03 - marketing direto
adesivos vinil dobrada salles/prof renne 30x10;1813-0/01 - impressão de material para uso publicitário
adesivo perfurado medindo 0.80x0.40 juntamente com o candidato a veredor antonio canidia;1813-0/01 - impressão de material para uso publicitário
50 porcento santinho 7x10 pinheirinhoxmarcos - tiragem 30.000 - grafica editora cedablio ltda;1813-0/01 - impressão de material para uso publicitário
doção de assessoria jurídica para a prestação de contas;6911-7/01 - serviços advocatícios
volantes 7x10 cm 4 cor off-set 75g. - gamba da salete;1813-0/01 - impressão de material para uso publicitário
prestacao de servicos na locação de veiculo para campanha eleitoral de 2016;7711-0/00 - locação de automóveis sem condutor
praguinhas7x7 e santinhos 10x7-4x4;1813-0/01 - impressão de material para uso publicitário
cessão de um veiculo do dia 01/09/2016 a 02/10/2016;7711-0/00 - locação de automóveis sem condutor
cartao de vsitas noraldino n 20 com o candidato marcos ventura n 22777;1813-0/01 - impressão de material para uso publicitário
valor estimado motorista c/ veiculo proprio- marca gm.mod.corsa - 2010/11-cor verde-placa evh0710;4923-0/02 - serviço de transporte de passageiros - locação de automóveis com motorista
vw/gol 1.0 giv ano:2008/2009 placa: nkt-8674 cor: vermelha;7711-0/00 - locação de automóveis sem condutor
cessao de uso de veiculo para fins eleitorais fusca gwb 3554;7711-0/00 - locação de automóveis sem condutor
fiat uno mille fire 2007 dtt3861 azul flex;7711-0/00 - locação de automóveis sem condutor
santinho dobradinha tutuca x magal;1813-0/01 - impressão de material para uso publicitário
automóvel camionete/aberta gm/s10 executive d 4x4 ano 2011 cor prata placa njo3352;7711-0/00 - locação de automóveis sem condutor
cessão do veiculo kia besta placa cni0430 03 (tres) horas diarias;7711-0/00 - locação de automóveis sem condutor
serviços de marketing digital;7319-0/04 - consultoria em publicidade
veículo ford ecosport 1.6 ano 2012 oib 3995;7711-0/00 - locação de automóveis sem condutor
ford focus 1.6l - placa arm-1934;7711-0/00 - locação de automóveis sem condutor
cessão de veículo gm corsa ano 1994· placa igb 3930· de sua propriedade;7711-0/00 - locação de automóveis sem condutor
50 (por cento) do espaço de 50 imprssão de adesivos parachoque conf. nf nº 642;1813-0/01 - impressão de material para uso publicitário
bandeira e panfletagem de 25/08/2016 a 30/09/2016 das 09:00 as 18:00h;7319-0/02 - promoção de vendas
panfletinho 6x9cm 4/4 cores carlos alberto com sadinoel;1813-0/01 - impressão de material para uso publicitário
doação de serviço de filmagem e edição com equipamentos próprios campanha eleitoral;5911-1/02 - produção de filmes para publicidade
nf 6957 adesivo impresso 1·50x1·50;1813-0/01 - impressão de material para uso publicitário
cessao de veiculo laguna 2.0 placa ajb-0582;7711-0/00 - locação de automóveis sem condutor
motorista no período 02/09/2016 à 01/10/20166;9700-5/00 - serviços domésticos
motorista do carro;9700-5/00 - serviços domésticos
uso de veículo camionete ford ranger xlt cd432 2013/2013 placa osw2556;7711-0/00 - locação de automóveis sem condutor
automovel fiat siena el flex alcool/gasolina placa nio-8957 cor preta ano/modelo 2009/2010;7711-0/00 - locação de automóveis sem condutor
ref 108 und cartaz;1813-0/01 - impressão de material para uso publicitário
serviço voluntario de militância não remunerada para campanha eleitoral 2016.;7319-0/03 - marketing direto
cessão do vw gol 1.6 placa hjz2425;7711-0/00 - locação de automóveis sem condutor
doaçao do serviço de motorista para a campanha eleitoral;9700-5/00 - serviços domésticos
refrente a prestação de serviços de assessoria juridica;6911-7/01 - serviços advocatícios
locação do carro em valor estimado por todo período da campanha;7711-0/00 - locação de automóveis sem condutor
serviços técnicos contábeis de prestação de contas eleições2016 do candidato;6920-6/01 - atividades de contabilidade
perfurite adesivo 43x90;1813-0/01 - impressão de material para uso publicitário
panfletos coche 90 4x4;1813-0/01 - impressão de material para uso publicitário
adesivo em veiculo corsa;7312-2/00 - agenciamento de espaços para publicidade, exceto em veículos de comunicação
prestacão de servico de cabo eleitoral· pelo periodo de 30/08/2016 a 02/10/2016;7319-0/03 - marketing direto
