valor_despesa;mmaaaa_despesa;dt_final;valor_atualizado
3895,08;10/2008;12/2017;6692.24
9,83;09/2008;12/2017;16.93
1500,00;08/2008;12/2017;2591.12
3,60;09/2008;12/2017;6.2
1,80;08/2008;12/2017;3.11
7661,60;09/2008;12/2017;13197.82
2,70;09/2008;12/2017;4.65
20000,00;10/2008;12/2017;34362.52
254,00;09/2008;12/2017;437.54
4200,00;08/2008;12/2017;7255.15
500,00;10/2008;12/2017;859.06
5,00;10/2008;12/2017;8.59
13583,05;10/2008;12/2017;23337.39
700,00;09/2008;12/2017;1205.82
550,00;09/2008;12/2017;947.43
17,00;08/2008;12/2017;29.37
1,70;09/2008;12/2017;2.93
1800,00;08/2008;12/2017;3109.35
6400,00;09/2008;12/2017;11024.6
7,20;09/2008;12/2017;12.4
13,58;10/2008;12/2017;23.33
1750,00;09/2008;12/2017;3014.54
0,90;09/2008;12/2017;1.55
12335,40;09/2008;12/2017;21248.87
32,63;10/2008;12/2017;56.06
0,35;08/2008;12/2017;0.6
31,20;10/2008;12/2017;53.61
9832,50;09/2008;12/2017;16937.4
870,00;10/2008;12/2017;1494.77
6,30;09/2008;12/2017;10.85
6555,00;08/2008;12/2017;11323.21
2018,80;10/2008;12/2017;3468.55
4339,99;09/2008;12/2017;7476.04
335,00;10/2008;12/2017;575.57
1913,33;10/2008;12/2017;3287.34
5000,00;09/2008;12/2017;8612.97
3474,99;08/2008;12/2017;6002.75
670,00;10/2008;12/2017;1151.14
1087,50;09/2008;12/2017;1873.32
1,80;10/2008;12/2017;3.09
0,90;08/2008;12/2017;1.55
6243,12;10/2008;12/2017;10726.47
1500,00;10/2008;12/2017;2577.19
6630,00;08/2008;12/2017;11452.77
1255,00;10/2008;12/2017;2156.25
9,89;11/2008;12/2017;16.92
10,80;10/2008;12/2017;18.56
200,00;10/2008;12/2017;343.63
300,00;09/2008;12/2017;516.78
3,60;10/2008;12/2017;6.19
440,21;10/2008;12/2017;756.34
7870,00;09/2008;12/2017;13556.81
340,00;10/2008;12/2017;584.16
63700,00;09/2008;12/2017;109729.18
725,00;09/2008;12/2017;1248.88
3,30;10/2008;12/2017;5.67
31200,00;09/2008;12/2017;53744.9
390,00;10/2008;12/2017;670.07
535,00;10/2008;12/2017;919.2
3500,00;10/2008;12/2017;6013.44
4,50;10/2008;12/2017;7.73
12000,00;07/2008;12/2017;20838.86
2400,00;10/2008;12/2017;4123.5
15,00;09/2008;12/2017;25.84
380,00;10/2008;12/2017;652.89
15,30;10/2008;12/2017;26.29
14,00;09/2008;12/2017;24.12
2,70;10/2008;12/2017;4.64
1294,00;08/2008;12/2017;2235.28
5,55;10/2008;12/2017;9.54
150,00;10/2008;12/2017;257.72
1399,00;09/2008;12/2017;2409.91
6,63;09/2008;12/2017;11.42
6300,00;09/2008;12/2017;10852.34
3,30;11/2008;12/2017;5.64
12,33;09/2008;12/2017;21.24
0,90;10/2008;12/2017;1.55
9,90;10/2008;12/2017;17.01
1,70;11/2008;12/2017;2.91
300,00;10/2008;12/2017;515.44
6,40;09/2008;12/2017;11.02
715,00;10/2008;12/2017;1228.46
7,66;09/2008;12/2017;13.2
250,00;10/2008;12/2017;429.53
468,00;09/2008;12/2017;806.17
479,56;10/2008;12/2017;823.94
625,00;09/2008;12/2017;1076.62
14,00;10/2008;12/2017;24.05
13,25;09/2008;12/2017;22.82
18,50;11/2008;12/2017;31.64
1000,00;10/2008;12/2017;1718.13
1000,00;09/2008;12/2017;1722.59
740,00;10/2008;12/2017;1271.41
10,80;09/2008;12/2017;18.6
1500,00;09/2008;12/2017;2583.89
4339,50;09/2008;12/2017;7475.19
12,00;10/2008;12/2017;20.62
32632,30;10/2008;12/2017;56066.4
950,00;10/2008;12/2017;1632.22
550,00;10/2008;12/2017;944.97
962,00;08/2008;12/2017;1661.77
14750,00;08/2008;12/2017;25479.39
400,00;10/2008;12/2017;687.25
3,30;09/2008;12/2017;5.68
1,70;10/2008;12/2017;2.92
0,90;11/2008;12/2017;1.54
14,75;09/2008;12/2017;25.41
6,55;09/2008;12/2017;11.28
13252,53;09/2008;12/2017;22828.72
1,80;09/2008;12/2017;3.1
4500,00;10/2008;12/2017;7731.57
1114,90;10/2008;12/2017;1915.54
1800,00;09/2008;12/2017;3100.67
4500,00;09/2008;12/2017;7751.67
5551,00;10/2008;12/2017;9537.32
2339,00;10/2008;12/2017;4018.7
52,32;10/2008;12/2017;89.89
4,50;08/2008;12/2017;7.77
3306,00;10/2008;12/2017;5680.12
273,60;10/2008;12/2017;470.08
600,00;10/2008;12/2017;1030.88
80,00;10/2008;12/2017;137.45
60,00;10/2008;12/2017;103.09
480,00;10/2008;12/2017;824.7
184,62;07/2008;12/2017;320.61
2022,00;10/2008;12/2017;3474.05
785800,00;10/2008;12/2017;1350103.41
360,00;10/2008;12/2017;618.53
13346,20;10/2008;12/2017;22930.45
29510,00;10/2008;12/2017;50701.9
2279,92;10/2008;12/2017;3917.19
1145,00;10/2008;12/2017;1967.25
100,86;10/2008;12/2017;173.29
7230,00;10/2008;12/2017;12422.05
1297,45;10/2008;12/2017;2229.18
2000,00;08/2008;12/2017;3454.83
550,00;08/2008;12/2017;950.08
250,00;08/2008;12/2017;431.85
450,00;08/2008;12/2017;777.34
14,00;08/2008;12/2017;24.18
965,00;08/2008;12/2017;1666.96
800,00;09/2008;12/2017;1378.07
370,00;09/2008;12/2017;637.36
450,00;09/2008;12/2017;775.17
150,00;09/2008;12/2017;258.39
470,00;10/2008;12/2017;807.52
600,00;09/2008;12/2017;1033.56
620,00;09/2008;12/2017;1068.01
750,00;09/2008;12/2017;1291.94
500,00;09/2008;12/2017;861.3
350,00;09/2008;12/2017;602.91
230,00;09/2008;12/2017;396.2
24,75;09/2008;12/2017;42.63
30000,00;09/2008;12/2017;51677.79
250,00;09/2008;12/2017;430.65
3091,50;08/2008;12/2017;5340.31
